From Town Name,To Town Name,Distance (m),Time (sec)
Adams,Marshfield Hills,271560,11612
Adams,Mashpee Neck,317658,12753
Adams,Mattapoisett Center,292873,11573
Adams,Maynard,181786,8513
Adams,Medfield,214123,9644
Adams,Medford city,207436,10029
Adams,Melrose city,229145,10262
Adams,Methuen Town city,210288,9260
Adams,Middleborough Center,255444,10319
Adams,Milford,196966,8424
Adams,Millers Falls,79498,4158
Adams,Millis-Clicquot,210103,9210
Adams,Milton,239420,10258
Adams,Monomoscoy Island,322986,13194
Adams,Monson Center,122280,6205
Adams,Monument Beach,296113,11672
Adams,Nahant,251694,11391
Adams,Nantucket,373605,21523
Adams,Needham,218267,9337
Adams,New Bedford city,267747,11137
Adams,New Seabury,321003,13040
Adams,Newburyport city,241202,10584
Adams,Newton city,215703,9186
Adams,North Adams city,7208,473
Adams,North Amherst,73324,4172
Adams,North Brookfield,116436,6791
Adams,North Eastham,364423,14671
Adams,North Falmouth,305322,12126
Adams,North Lakeville,258560,10406
Adams,North Pembroke,269906,11328
Adams,North Plymouth,279097,11536
Adams,North Scituate,272305,11776
Adams,North Seekonk,230456,9899
Adams,North Westport,255249,10701
Adams,Northampton city,58606,3262
Adams,Northborough,185433,8206
Adams,Northfield,87831,4551
Adams,Northwest Harwich,340693,13569
Adams,Norton Center,231246,9523
Adams,Norwood,230590,9719
Adams,Ocean Bluff-Brant Rock,277181,11795
Adams,Ocean Grove,243994,10319
Adams,Onset,282166,11149
Adams,Orange,98175,5193
Adams,Orleans,354751,14154
Adams,Oxford,166418,7388
Adams,Palmer Town city,115403,5639
Adams,Peabody city,231542,10279
Adams,Pepperell,174162,8668
Adams,Petersham,113692,5778
Adams,Pinehurst,202847,9324
Adams,Pittsfield city,27810,1747
Adams,Plymouth,280581,11570
Adams,Pocasset,302409,12010
Adams,Popponesset,321354,13147
Adams,Popponesset Island,320714,13062
Adams,Provincetown,398239,16500
Adams,Quincy city,240087,10335
Adams,Randolph,239542,10129
Adams,Raynham Center,245448,10098
Adams,Reading,219038,9660
Adams,Revere city,238813,10370
Adams,Rockport,266664,11952
Adams,Rowley,233004,10967
Adams,Russell,64298,3367
Adams,Rutland,145000,7341
Adams,Sagamore,298376,11750
Adams,Salem city,244543,11692
Adams,Salisbury,242733,10765
Adams,Sandwich,302062,12004
Adams,Saugus,229575,10412
Adams,Scituate,271358,11698
Adams,Seabrook,318230,12834
Adams,Seconsett Island,318773,12943
Adams,Sharon,235898,9775
Adams,Shelburne Falls,50312,2845
Adams,Shirley,158878,7414
Adams,Siasconset,383672,22092
Adams,Smith Mills,263448,11015
Adams,Somerset,246114,10523
Adams,Somerville city,235462,10136
Adams,South Amherst,71252,4223
Adams,South Ashburnham,134243,6626
Adams,South Deerfield,62591,3657
Adams,South Dennis,336902,13265
Adams,South Duxbury,281574,11721
Adams,South Lancaster,164423,7674
Adams,South Yarmouth,332694,13145
Adams,Southbridge Town city,148322,7106
Adams,Southfield,258109,10866
Adams,Spencer,125076,7362
Adams,Springfield city,99584,5371
Adams,Stoneham,225208,9884
Adams,Sturbridge,142380,6631
Adams,Swampscott,238961,11300
Adams,Taunton city,244523,10303
Adams,Teaticket,315622,12570
Adams,The Pinehills,292607,11922
Adams,Topsfield,224779,10355
Adams,Townsend,161456,8017
Adams,Turners Falls,74071,3980
Adams,Upton,181898,8259
Adams,Vineyard Haven,333122,16026
Adams,Wakefield,220373,10033
Adams,Walpole,231706,9810
